"NAME","CAPITAL","CONTINENT","AREA","POPULATION"
"Argentina","Buenos Aires","South America",2777815.00,32300003.00
"Bolivia","La Paz","South America",1098575.00,7300000.00
"Brazil","Brasilia","South America",85111968.00,150400000.00
"Canada","Ottawa","North America",9976147.00,26500000.00
"Chile","Santiago","South America",756943.00,13200000.00
"Colombia","Bagota","South America",1138907.00,33000000.00
"Cuba","Havana","North America",114524.00,10600000.00
"Ecuador","Quito","South America",455502.00,10600000.00
"El Salvador","San Salvador","North America",20865.00,5300000.00
"Guyana","Georgetown","South America",214969.00,800000.00
"Jamaica","Kingston","North America",11424.00,2500000.00
"Mexico","Mexico City","North America",1967180.00,88600000.00
"Nicaragua","Managua","North America",139000.00,3900000.00
"Paraguay","Asuncion","South America",406576.00,4660000.00
"Peru","Lima","South America",1285215.00,21600000.00
"United States of America","Washington","North America",9363130.00,249200000.00
"Uruguay","Montevideo","South America",176140.00,3002000.00
"Venezuela","Caracas","South America",912047.00,19700000.00
