My Computer					{20D04FE0-3AEA-1069-A2D8-08002B30309D} +
Control Panel				{21EC2020-3AEA-1069-A2DD-08002B30309D} -
Printers						{2227A280-3AEA-1069-A2DE-08002B30309D} -
My Documents				{450D8FBA-AD25-11D0-98A8-0800361B1103} +
Recycle Bin					{645FF040-5081-101B-9F08-00AA002F954E} +
Briefcase						{85BBD920-42A0-1069-A2E4-08002B30309D} -
Internet Explorer		{871C5380-42A0-1069-A2EA-08002B30309D} +
Dial-Up Networking	{992CFFA0-F557-101A-88EC-00DD010CCC48} -
										{a4d92740-67cd-11cf-96f2-00aa00a11dd9} -
Web Folders					{BDEADF00-C265-11d0-BCED-00A0C90AB50F} -
Scheduled Task			{D6277990-4C6A-11CF-8D87-00AA0060F5BF} -
Network							{208D2C60-3AEA-1069-A2D7-08002B30309D} +
