Rank;City;Population;Country
1;Shanghai;13831900;China
2;Mumbai;13830884;India
3;Karachi;12991000;Pakistan
4;Delhi;12565901;India
5;Istanbul;12517664;Turkey
6;Sao Paulo;11037593;Brazil
7;Moscow;10508971;Russia
8;Seoul;10464051;South Korea
9;Beijing;10123000;China
10;Tokyo;8887608;Japan
11;Mexico City;8841916;Mexico
12;Jakarta;8792000;Indonesia
13;Kinshasa;8754000;Democratic Republic of the Congo
14;New York City;8363710;United States
15;Lagos;7937932;Nigeria
16;Lima;7605742;Peru
17;London;7556900;United Kingdom
18;Bogotá;7259597;Colombia
19;Tehran;7241000;Iran
20;Ho Chi Minh City;7162864;Vietnam
21;Hong Kong;7026400;Hong Kong
22;Bangkok;7025000;Thailand
23;Dhaka;7000940;Bangladesh
24;Cairo;6758581;Egypt
25;Lahore;6318745;Pakistan
26;Rio de Janeiro;6186710;Brazil
27;Chongqing;5954800;China
28;Bangalore;5840155;India
29;Tianjin;5800000;China
30;Baghdad;5402486;Iraq
31;Kolkata;5138208;India
32;Singapore;5076007;Singapore
33;Santiago;5012973;Chile
34;Riyadh;4848000;Saudi Arabia
35;Surat;4786002;India
36;Chennai;4616639;India
37;Saint Petersburg;4581854;Russia
38;Yangon;4350000;Myanmar
39;Guangzhou;4261800;China
40;Alexandria;4110015;Egypt
41;Shenyang;4101197;China
42;Hyderabad;4068611;India
43;Ahmedabad;3959432;India
44;Ankara;3901201;Turkey
45;Johannesburg;3888180;South Africa
46;Los Angeles;3849378;United States
47;Wuhan;3807950;China
48;Yokohama;3680267;Japan
49;Abidjan;3660682;Côte d'Ivoire
50;Busan;3574340;South Korea
51;Cape Town;3497097;South Africa
52;Durban;3468086;South Africa
53;Pune;3446330;India
54;Berlin;3426354;Germany
55;Pyongyang;3255388;North Korea
56;Jeddah;3234000;Saudi Arabia
57;Kanpur;3221435;India
58;Madrid;3213271;Spain
59;Jaipur;3210570;India
60;Buenos Aires;3050728;Argentina
61;Nairobi;3038553;Kenya
