Afghanistan	Kabul	34:30:00 °N  	069:10:00 °E
Albania	Tiranë	41:20:00 °N  	019:49:00 °E
Algeria	Algiers	36:50:00 °N  	003:02:00 °E
Andorra	Andorra	42:30:00 °N  	001:30:00 °E
Angola	Luanda	08:50:00 °S  	013:15:00 °E
Argentina	BuenosAires	34:40:00 °S  	058:30:00 °W
Argentina	Ushuaia	54:48:00 °S  	068:18:00 °W
Armenia	Yerevan	40:16:00 °N  	043:37:00 °E
Ascension	Ascension	08:00:00 °S  	014:00:00 °W
Australia	Adelaide	34:55:00 °S  	138:35:00 °E
Australia	AliceSprings	23:42:00 °S  	133:52:00 °E
Australia	Brisbane	27:30:00 °S  	153:00:00 °E
Australia	Canberra	35:18:00 °S  	149:08:00 °E
Australia	Darwin	12:23:00 °S  	130:54:00 °E
Australia	Fremantle	32:07:00 °S  	115:44:00 °E
Australia	Hobart	42:54:00 °S  	147:18:00 °E
Australia	Melbourne	37:27:00 °S  	144:58:00 °E
Australia	Perth	31:58:00 °S  	115:49:00 °E
Australia	Sydney	33:32:30 °S  	151:10:00 °E
Austria	Graz	47:05:00 °N  	015:22:00 °E
Austria	Innsbruck	47:17:00 °N  	011:25:00 °E
Austria	Leibnitz	46:48:00 °N  	015:33:00 °E
Austria	Linz	48:19:00 °N  	014:18:00 °E
Austria	Salzburg	47:54:00 °N  	013:03:00 °E
Austria	Vienna	48:13:00 °N  	016:22:00 °E
Azerbaijan	Baku	40:22:00 °N  	049:53:00 °E
Bahamas	Nassau	25:05:00 °N  	077:20:00 °W
Barbados	Barbados	13:00:00 °N  	059:00:00 °W
Belarus	Minsk	53:51:00 °N  	027:30:00 °E
Belgium	Antwerp	51:13:00 °N  	004:25:00 °E
Belgium	Brugge	51:12:00 °N  	003:14:00 °E
Belgium	Brussels	50:50:00 °N  	004:21:00 °E
Belgium	Gent	51:02:00 °N  	003:42:00 °E
Belgium	Licge	50:38:00 °N  	005:35:00 °E
Belgium	Zeebrugge	51:20:00 °N  	003:13:00 °E
Bermuda	Bermuda	32:00:00 °N  	065:00:00 °W
Bolivia	LaPaz	16:30:00 °S  	068:10:00 °W
Bosnia	Mostar	43:20:00 °N  	017:50:00 °E
Bosnia	Sarajevo	43:52:00 °N  	018:26:00 °E
Brazil	Brasilia	15:46:00 °S  	047:58:00 °W
Brazil	RiodeJaneiro	22:54:00 °S  	043:16:00 °W
Brazil	SaoPaulo	23:35:00 °S  	046:01:00 °W
Cambodia	PhnomPenh	11:35:00 °N  	104:55:00 °E
Canada	Calgary	51:03:00 °N  	114:05:00 °W
Canada	Charlottetown	46:18:00 °N  	063:12:00 °W
Canada	CornerBrook	49:00:00 °N  	059:00:00 °W
Canada	Edmonton	53:33:00 °N  	113:28:00 °W
Canada	Fredericton	45:54:00 °N  	066:42:00 °W
Canada	FundyNat.Park	45:36:00 °N  	064:59:00 °W
Canada	GooseBay	53:18:00 °N  	060:06:00 °W
Canada	Halifax	44:35:00 °N  	063:39:00 °W
Canada	Hamilton	43:15:00 °N  	079:51:00 °W
Canada	London	43:00:00 °N  	081:00:00 °W
Canada	Moncton	46:00:00 °N  	064:48:00 °W
Canada	Montreal	45:31:00 °N  	073:33:00 °W
Canada	Ottawa	45:24:00 °N  	075:42:00 °W
Canada	Quebec	47:50:00 °N  	071:15:00 °W
Canada	Regina	50:00:00 °N  	105:00:00 °W
Canada	SaintJohn	45:18:00 °N  	066:00:00 °W
Canada	Saskatoon	52:00:00 °N  	107:00:00 °W
Canada	Sept-Iles	50:13:00 °N  	066:21:30 °W
Canada	StJohn  	47:30:00 °N  	052:54:00 °W
Canada	Summerside	46:24:00 °N  	063:54:00 °W
Canada	Sydney	46:06:00 °N  	060:10:00 °W
Canada	ThunderBay	48:00:00 °N  	089:00:00 °W
Canada	Toronto	43:39:00 °N  	079:23:00 °W
Canada	Truro	45:22:00 °N  	063:17:00 °W
Canada	Vancouver	49:09:00 °N  	123:04:00 °W
Canada	Victoria	48:00:00 °N  	123:00:00 °W
